x,y,z
-167.8803,37.43223,-26.09613
-171.743,36.688,-23.27759
-173.1604,36.688,-25.91669
-172.1344,37.0047,-29.2521
-171.5903,37.21381,-29.39337
-165.1446,36.688,-23.16252
-171.5452,36.718,-29.06217
-163.6656,36.688,-30.7143
-172.47,38.34267,-29.79021
-172.2243,38.38326,-30.09713
-157.4859,36.688,-22.45739
-173.8199,36.688,-30.64173
-175.2747,36.688,-29.84252
-175.7264,36.688,-28.21134
-174.9168,36.688,-24.97191
-157.7279,36.718,-22.49912
-176.0513,36.688,-20.51205
-162.2042,36.93007,-24.74978
-178.4535,36.718,-18.83238
-174.0367,36.688,-23.57959
-184.013,36.688,-17.46445
-181.554,36.688,-20.6755
-171.2435,36.718,-22.65459
-178.7293,36.688,-21.57611
-176.9651,36.718,-21.55287
32.31,21.48,26.21
-36,22.19,-89.66
-64.33238,12.05133,61.81742
-32.58352,22.088,-87.61496
-64.33238,12.05133,61.81742
-30.81736,22.088,-84.94373
23.69344,21.328,26.42688
-31.19579,22.088,-73.25658
-32.14794,22.088,-72.6163
-43.89354,12.26059,63.63039
-33.17748,22.088,-74.514
-33.53023,22.088,-73.90568
-34.62491,22.088,-71.35824
-34.94017,22.088,-70.82333
-57.06156,12.05133,61.48983
-34.51805,22.088,-67.42776
-59.83249,12.008,61.99479
-34.26535,22.088,-66.7381
-34.19543,22.088,-66.85888
-59.37528,12.05133,61.89555
-34.18896,22.088,-66.29486
20.88299,21.38467,29.73806
-34.69002,22.13467,-64.97854
-54.29655,12.008,62.44203
19.43174,21.328,27.81711
-34.69002,22.13467,-64.97854
21.8702,21.328,26.22602
-37.53629,22.088,-66.47786
23.97236,21.328,26.44168
-37.76229,22.088,-71.85055
32.16867,21.328,23.06142
-49.5882,12.05133,58.71737
-36.07124,22.088,-76.90172
32.4643,21.328,24.5967
-35.06461,22.088,-77.74685
28.97794,21.72876,27.28869
30.32762,21.38467,27.63464
-38.54243,22.13467,-88.57981
32.31,21.48,26.21
-52.14,12.146,56.47
32.31,21.38467,26.21
-52.29879,12.008,57.99387
-54.48779,12.008,58.9563
32.31,21.38467,26.21
-36,22.19,-89.66
29.31363,21.328,27.67182
26.68907,21.328,27.38069
-58.66597,12.83893,67.36443
23.83162,21.328,26.33978
-53.41715,12.008,62.5901
-32.37572,22.088,-88.66172
21.13595,21.328,25.95851
19.94901,21.328,26.5535
-53.26131,12.008,65.77916
-31.52396,22.088,-85.37738
21.43411,21.38467,26.51011
-53.13163,12.48997,63.97628
21.57339,21.328,30.65788
22.42635,21.328,30.70256
-54.79224,12.008,59.08393
22.15848,21.38467,30.00791
-55.1778,12.008,60.929
27.57607,21.328,33.77779
-26.40349,22.088,-78.21658
-26.16445,22.088,-78.2317
26.61781,21.328,33.99682
25.11611,21.38467,32.60882
-26.21721,22.63559,-74.2939
31.22367,21.328,31.59004
32.80664,21.328,30.94682
-55.89133,12.008,62.04211
-55.01485,12.05133,60.83854
-26.50614,22.50054,-78.43643
30.43381,21.38467,31.27394
-55.40821,12.008,61.59693
-27.79836,22.088,-76.10231
-55.30567,12.008,62.27836
-27.88049,22.088,-76.04901
-29.34771,22.088,-75.84005
-91.79,4.11,0.62
-32.66734,22.088,-75.01779
-87.76031,4.078,-0.4878712
-88.99661,4.134667,-0.1479828
-37.08117,22.088,-66.93037
-55.30167,12.05133,62.03846
-84.35024,4.078,-0.6635518
-81.58389,4.078,-1.957994
-81.67332,4.078,-5.289554
-81.76728,4.078,-7.112567
-60.9489,12.008,61.84444
-34.9744,22.13467,-65.09073
-82.06564,4.147569,-5.910861
-34.9744,22.13467,-65.09073
-34.9744,22.13467,-65.09073
-32.82832,24.18051,-64.31682
-81.96171,4.134667,-6.329473
-83.84698,4.078,-6.997856
-35.80448,24.23497,-66.19592
-86.41276,4.078,-5.210966
-33.31868,23.92902,-65.65338
-89.22101,4.078,-0.1235147
-26.15688,22.088,-72.8721
-87.91669,4.078,-1.109383
-30.64514,22.088,-77.97942
-87.86346,4.134667,-1.323388
-91.58511,4.134667,0.5404249
-37.72554,22.13467,-88.93351
-91.58511,4.134667,0.5404249
-92.33115,4.078,5.209029
32.31,21.48,26.21
-89.75494,4.078,6.643079
32.31,21.38467,26.21
-86.97746,4.078,8.623962
-87.46294,4.078,9.99947
28.35277,21.33967,21.91538
23.05495,21.328,25.6295
-87.88298,4.078,12.8752
21.25803,21.328,29.24853
-88.33002,4.078,12.94451
-89.25737,4.078,12.49996
22.92158,21.328,33.26977
-89.27216,4.078,11.74428
-89.10044,4.078,9.724006
-88.70608,4.078,7.487444
21.63128,21.328,33.72059
-87.95052,4.078,4.227705
-86.56707,4.078,2.247097
23.98978,21.328,34.77909
-84.39008,4.078,0.4074264
25.63814,21.328,32.8803
-84.25344,4.134667,-0.9438536
25.18349,21.328,32.6694
-85.1316,4.078,-4.655667
22.71972,22.98901,34.22381
-86.93681,4.078,-1.99321
24.1268,21.328,34.84819
-86.87856,4.078,0.0254252
25.74569,21.328,33.49091
-86.86157,4.134667,-0.1851453
28.97876,21.328,32.69824
32.49915,21.328,31.42304
31.93583,21.38467,31.62415
31.93583,21.38467,31.62415
31.93583,21.38467,31.62415
27.74946,21.328,26.34088
14.04618,21.41944,21.91538
-88.43745,4.078,1.429522
12.75104,21.328,25.11388
-91.30722,4.134667,1.578458
14.63285,21.38467,25.09905
14.40013,21.38467,25.10089
32.31,21.48,26.21
14.40013,21.38467,25.10089
32.31,21.38467,26.21
12.44534,21.328,15.42688
32.31,21.38467,26.21
-61.6703,12.008,60.74179
22.38185,21.328,25.26378
22.23461,21.328,24.9113
-59.3504,12.008,59.60318
23.79228,21.38467,25.11579
11.47116,21.328,16.77731
23.79228,21.38467,25.11579
11.04368,21.328,22.71264
-56.99461,12.008,60.90812
23.79228,21.38467,25.11579
17.62909,21.328,24.28702
-50.07456,12.008,57.78286
17.29141,21.328,25.21106
11.36644,21.328,27.58701
15.06549,21.328,24.83829
14.33637,21.328,24.88834
-47.88841,12.008,58.11615
11.4165,21.328,24.13316
10.83994,21.328,23.94564
12.30022,21.328,34.30651
14.68023,21.38467,24.57087
-49.13121,12.05133,58.40283
11.87767,21.328,19.77665
11.87522,21.328,18.62176
11.5242,21.328,15.57405
11.91237,21.328,35.91118
11.8418,21.38467,15.78951
11.97194,21.38467,35.6645
-91.79,4.11,0.62
9.601261,21.328,33.9372
-89.78954,4.078,-0.5152674
12.04633,21.328,17.86861
9.909851,21.328,29.08213
12.06573,21.38467,17.60229
-89.99285,4.134667,-0.3998905
10.02022,21.38467,29.3079
13.49154,21.328,24.51801
-87.45514,4.078,-0.8441629
13.34822,21.38467,23.73643
-81.7101,4.078,-2.854603
11.74368,23.36904,20.73547
-83.70577,4.078,-0.7367959
11.52774,21.328,22.49202
24.89931,21.38467,26.32266
11.64606,21.38467,22.27456
-85.18423,4.078,-0.7702065
12.80468,21.328,27.2764
35.3982,21.328,26.99097
12.44991,21.38467,25.74481
18.72615,21.328,24.67625
18.66918,21.328,23.96447
24.77686,21.328,22.91318
25.69935,21.328,23.62971
-91.41267,4.134667,1.056855
27.59382,21.328,24.76872
28.51004,21.328,25.47977
35.70194,21.38467,23.76326
29.35181,21.328,26.36527
30.10067,21.328,26.70563
-91.79,4.11,0.62
32.18209,21.328,26.33569
33.06181,21.328,26.17335
35.70194,21.38467,23.76326
-90.92857,4.078,-0.1857848
35.70194,21.38467,23.76326
-89.77536,4.078,0.3984063
31.56069,21.38467,26.63186
-87.44425,4.078,-1.46959
-91.79,4.11,0.62
36.56644,23.45511,21.87149
-87.61572,4.134667,-1.350768
-89.3862,4.078,0.4290092
36.41855,21.38467,22.71611
-89.59818,4.134667,0.4458512
42.34314,21.328,25.68198
37.88147,21.38467,23.44846
-85.47507,4.078,-1.595251
-85.19894,4.078,-1.253212
-87.61572,4.134667,-1.350768
40.55031,23.3863,21.74463
-85.19894,4.134667,-1.253212
40.66298,21.38467,22.80376
38.30579,21.328,27.05004
-87.61572,4.134667,-1.350768
35.41239,21.38467,28.19634
-89.05412,5.019608,-7.209976
-87.86525,4.078,-4.36204
35.41239,21.38467,28.19634
35.41239,21.38467,28.19634
35.41239,21.38467,28.19634
35.41239,21.38467,28.19634
38.04825,21.328,24.20974
